タイムスタンプ,授業名の頭文字で選択してください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業の全体感について教えてください [単位取得のしやすさ],授業の全体感について教えてください [高評価の取得のしやすさ],授業の全体感について教えてください [授業の面白さ],出欠は取りますか？,課題(リアぺ含む)・小テストはありましたか？(あったものを選択してください),課題(リアぺ含む)や小テストがある場合、その難易度や負担はどの程度でしたか？,試験の有無について教えてください,試験や期末レポートがあった場合、その難易度や負担はどの程度でしたか？,この授業の口コミやアドバイスを教えてください(自由記述)
2021/9/3 20:43,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心理学Ⅰ,,,,,,,,,,,,,,,,,,,,,,森井 真広,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,あり,課題(問題演習や小レポート、プレゼンテーションなど),普通,期末レポート,きつい,期末レポートが字数制限なし、テーマ自由で大変ですが、成績の付け方はそんなに厳しくないと思います！
2021/9/3 20:43,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社会学Ⅰ,,,,,,,,,,,,,,,,,土居 洋平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),4,なし,特になし,楽,期末レポート,楽,13回のうち6回以上は24時間以内にリアクションペーパーを出さなければならない。ただ、内容は簡単。先生の話も抑揚があって面白い。
2021/9/3 20:43,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社会学Ⅰ,,,,,,,,,,,,,,,,,藤川 千歳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,なし,特になし,,期末レポート,楽,オンデマンド。授業(パワポファイルが送られてくる)はあまり見ていないが、レポートのテーマが「テキストで興味を持ったトピックについて考察を深める」だったため問題なかった。高評価が取りづらいとの噂があるが、Aがきた。
2021/9/3 20:44,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社会学Ⅰ,,,,,,,,,,,,,,,,,宮本 万里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),4,なし,課題(問題演習や小レポート、プレゼンテーションなど),楽,期末レポート,楽,インドについて興味がある人だったらこの授業は面白いと思う。　単位は授業聞いてなくてもレポート出しとけば多分大丈夫。レポートも授業聞いてなくても書けるから楽。
2021/9/3 20:44,た行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地理学Ⅰ,,,,,,,,,,,湯澤 規子,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),3,なし,特になし,,期末レポート,きつい,期末レポート1発で、その量は多いかなと感じた。ただ、それさえすれば必ず単位はくる。
2021/9/3 20:45,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,政治学Ⅰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,伊藤 隆太,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),2,なし,特になし,,なし,楽,"本読んでレポート書くだけ。授業はYouTubeのリンクが送られてくるだけ。恐ろしく楽だったけど、シラバスで興味もって取っただけに残念。先生のYouTubeの再生回数と本の売り上げを稼いであげただけだった。悔しい"
2021/9/3 20:45,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,論理学Ⅰ,,,,,,,,,,,,,,,,,,秋吉 亮太,5(しやすい、面白い),4,4,なし,特になし,,期末レポート,普通,好きな人には好きな授業だし、100%理解できなくても単位は確実にくる。
2021/9/3 20:45,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文学Ⅰ,,,,,,,,,,,,栗本 賀世子,,,,,,,4,3,2,なし,課題(問題演習や小レポート、プレゼンテーションなど),普通,期末レポート,楽,授業は短いということはありません。
2021/9/3 20:46,た行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,哲学Ⅰ,,,,,,,,,,,,,上枝 美典,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),4,なし,"課題(問題演習や小レポート、プレゼンテーションなど), 小テスト",楽,期末レポート,楽,課題提出の遅刻無しで期末課題も800字ほど書いたらｓがきた
2021/9/3 20:46,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心理学Ⅰ,,,,,,,,,,,,,,,,,,,,,,望月 要,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),1(しにくい、面白くない),1(しにくい、面白くない),なし,特になし,,期末レポート,楽,"出席なし、小テストなし、期末レポートのみです！授業なんも見なくても単位きます！ただいい成績はきにくいと思います。"
2021/9/3 20:46,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命現象の分子科学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,舟橋 啓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),5(しやすい、面白い),あり,課題(問題演習や小レポート、プレゼンテーションなど),楽,なし,,授業も面白く、毎回出る簡単な問題を出せば単位がくると思う。
2021/9/3 20:46,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心理学Ⅰ,,,,,,,,,,,,,,,,,,,,,,田谷 修一郎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),4,5(しやすい、面白い),なし,課題(問題演習や小レポート、プレゼンテーションなど),楽,ペーパーテスト,楽,課題や試験自体はとても簡単。しかし簡単故に、完璧に仕上げていかないと高評価を取りづらい印象を受けた。
2021/9/3 20:46,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心理学Ⅰ,,,,,,,,,,,,,,,,,,,,,,白野 陽子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,なし,課題(問題演習や小レポート、プレゼンテーションなど),楽,ペーパーテスト,きつい,"普段の授業で課される課題は易しく、授業で疑問が残ったことなどを少し書くだけでしたが、オンラインの期末テストは難易度が高く、制限時間ギリギリでした。ですが、授業内容にあまり興味がなかった自分でも苦だとは思わなかったので、悪くはないと思います。あと、とても物腰柔らかい声をしているため、眠くなることもあります。"
2021/9/3 20:47,た行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,動物行動学,,,,,,,,,,,,,,,,,香田 啓貴,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),4,5(しやすい、面白い),なし,課題(問題演習や小レポート、プレゼンテーションなど),普通,期末レポート,普通,理系文系関係なく面白い授業だと思う
2021/9/3 20:47,た行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地域文化論Ⅰ,,大和田 俊之,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,なし,小テスト,楽,ペーパーテスト,きつい,みんあとってるが普通にだるい。毎回の小テストは簡単だが期末は過去問がないと無理ゲー。
2021/9/3 20:48,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生物学Ⅰ（実験を含む）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,坪川 達也,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,なし,課題(問題演習や小レポート、プレゼンテーションなど),きつい,期末レポート,きつい,授業の内容は難しいです。理解できません。ですが、授業の内容を理解してなくても課題はできるので、毎回の課題をしっかりやればSが貰えます。たぶん努力が評価される感じだと思います。課題も難しいですが解けないことはありません。難しいというよりめんどくさいかも。
2021/9/3 20:48,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,美術Ⅰ,,,,,,國本 学史,,,,,,,,,,,,,5(しやすい、面白い),4,3,あり,"課題(問題演習や小レポート、プレゼンテーションなど), リアクションペーパー",楽,期末レポート,楽,毎回のリアクションペーパーと中間レポート、期末レポートが出されます。授業見なくても書ける内容です。先生がとっても優しいです！！
2021/9/3 20:48,か行,,,,,,,現代生物学概論,,,,,,,,,,,,,,,,,,,,,,荒井 緑／牛場 潤一／岡 浩太郎／榊原 康文／佐藤 健吾／佐藤 智典／地村 弘二／土居 信英／舟橋 啓／堀田 耕司／松本 緑／宮本 憲二,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),4,3,あり,課題(問題演習や小レポート、プレゼンテーションなど),きつい,なし,,毎週のレポートをちゃんとやれば単位は来ると思う。　講義内容は専門的すぎるところもありレポートを書くのに苦労する回もあり、まぁまぁ負担。　
2021/9/3 20:48,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,政治学Ⅰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,諸橋 英一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,なし,特になし,,期末レポート,きつい,授業は面白いが、あまり興味がない分野故に少し苦痛だった。期末レポートは4000〜6000字。重すぎる。かなり時間を割いたが、その割に評価は伸びなかった。
2021/9/3 20:49,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心理学Ⅰ,,,,,,,,,,,,,,,,,,,,,,川畑 秀明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,あり,課題(問題演習や小レポート、プレゼンテーションなど),普通,期末レポート,普通,"リアタイオンライン。カメラオン必須だが、ほぼ一方的な授業。期末レポートは中止になった対面試験の代替のため、秋学期は対面試験かもしれない。レポートはレジュメの内容でも対応できると思われるが、提示された参考文献を読んで、その内容も交えて書いたらSだった。期末レポートのほかにブックレポートがあるが、これは相当酷くない限り点をくれるらしい。"
2021/9/3 20:50,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心理学Ⅰ,,,,,,,,,,,,,,,,,,,,,,寺澤 悠理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1(しにくい、面白くない),1(しにくい、面白くない),4,あり,"課題(問題演習や小レポート、プレゼンテーションなど), リアクションペーパー",普通,ペーパーテスト,きつい,授業内容は面白いが、毎回のリアクションコメントとペーパー試験があるうち後者の比重が高く、単位を取りにくい印象。来学期は取らない。
2021/9/3 20:50,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,歴史Ⅰ,,,,,,,,,,,,,,,,佐々木 健策,,,5(しやすい、面白い),5(しやすい、面白い),5(しやすい、面白い),なし,小テスト,楽,オンラインテスト,楽,"今年度で慶應での授業を持たなくなるそうです。初回と最後の授業では先生自身が出演したブラタモリを観るという神授業がありました。毎回の授業後の課題は映像を見て、パワポの穴埋めをしていれば難なく答えられます。"
2021/9/3 20:51,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,物理学Ⅰ（実験を含む）,,,,,,,,,松浦 壮,,,,,,,,,,2,4,4,あり,課題(問題演習や小レポート、プレゼンテーションなど),普通,なし,,しっかりと授業を聞かなければ隔週で出るレポートが書けないが、授業でやったことを理解できていれば高評価が取れる。
2021/9/3 20:52,か行,,,,,,,現代生物学概論,,,,,,,,,,,,,,,,,,,,,,荒井 緑／牛場 潤一／岡 浩太郎／榊原 康文／佐藤 健吾／佐藤 智典／地村 弘二／土居 信英／舟橋 啓／堀田 耕司／松本 緑／宮本 憲二,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),4,5(しやすい、面白い),なし,課題(問題演習や小レポート、プレゼンテーションなど),,なし,,"授業内容：生命情報学科の先生方によるオムニバス形式、各回で講義内容や課題内容は様々(基本A41〜2枚程度、3枚まで書かされることはほぼなかったはず)。2021年度は全て動画配信によるオンライン形式。単位取得のコツ：各回の課題レポートを余程手抜きせずに期限内に提出すれば恐らく酷い評価はつかないと思われる。課題をするにあたり、思いつかないと全く書けないようなものもあるため永遠と悩まずに割り切ることが大切。その回により課題の難易度が全然違うため早めに課題内容だけでもチェックしておくべき。高評価を取るコツ：まとめと感想の時は手抜きでも全然大丈夫だと思う。研究内容を考えろ等の自分で調べて考えなければならないものはそこそこ時間をかけてまともな文献を引っ張ればある程度いい成績はつきそう。履修にあたって：生物が好きな人、生物選択者は元々持っている知識の+αの話やどのような研究が行われているかを聞くことができ、面白いと思う。生物未履修者や好きではない人にとっては、生物の範囲の内容を知っている前提で話をされる先生方も多いため難しいと感じる人もいるかもしれない。"
2021/9/3 20:52,た行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地域文化論Ⅰ,,杉山 佳子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,なし,小テスト,きつい,期末レポート,普通,小テストは授業動画の細かいところが聞かれるので，動画を見返さなければならず，大変でした。授業自体は面白いです。
2021/9/3 20:53,か行,,,,,,,言語認識論,,,,,,,,,,,,,,,,,,,,,,,,,,小原 京子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),4,なし,課題(問題演習や小レポート、プレゼンテーションなど),普通,なし,,「ことば」という身近な話題なのでとっつきやすいと思います。こういう角度から考えるんだ、と興味深く思える内容が多かったです。オンデマンドで、動画は1時間半しっかりありますが2倍速でも理解できる内容ですし、最初の45分くらいは前回の復習や感想のまとめなのであまり聞かなくて良い。教科書買ってしまいましたが丁寧に説明してくれるのでいらなかったなぁ。毎回感想を書きますが5文までの短いものですし、負担には感じませんでした。さらに出し忘れの救済措置として毎週任意の加点課題が出るので、気力があるときにやっておくと安心。期末に大きい課題が一つあるのではなくミニレポート3回というのも嬉しい。私は出し忘れ無しで加点課題を2、3回やった程度でSを頂けました。感想の内容も大したものではなかったと思いますが、教授がほんとに優しい。感想にコメントまでつけてくれます。話し方も優しい。顔も優しい。おすすめです。
2021/9/3 20:53,か行,,,,,,,言語認識論,,,,,,,,,,,,,,,,,,,,,,,,,,小原 京子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),4,なし,"課題(問題演習や小レポート、プレゼンテーションなど), リアクションペーパー",楽,なし,,楽単！
2021/9/3 20:54,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,心理学Ⅰ,,,,,,,,,,,,,,,,,,,,,,白野 陽子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1(しにくい、面白くない),1(しにくい、面白くない),あり,リアクションペーパー,普通,オンラインテスト,きつい,心理学といっても生物学的な心理学の講義(認知心理学的なイメージ)でおそらく文系諸君には大変厳しい。単位取得の楽さは不透明だが、高評価は本当に取りづらい。教授の人柄は多分優しいんだろうけど授業が個人的には相性が良くなかったので取ることはないかな。心理学の中でもタフな方なので他の取れるならそっちとろう。
2021/9/3 20:54,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,歴史Ⅰ,,,,,,,,,,,,,,,,大島 朋剛,,,1(しにくい、面白くない),1(しにくい、面白くない),2,なし,特になし,,オンラインテスト,きつい,テストが難しく，文系のわたしは特に苦労しました。
2021/9/3 20:54,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,法学Ⅰ（憲法を含む）,,,,,,,,,,,,,尾崎 愛美,,,,,,3,5(しやすい、面白い),3,なし,課題(問題演習や小レポート、プレゼンテーションなど),普通,なし,,レポートが結構重め
2021/9/3 20:55,た行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地域文化論Ⅰ,,綾部 麻美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,なし,小テスト,楽,なし,楽,"コロナ禍ということもあり超楽でした。授業はPDFのみ、授業後は2問ほど選択肢式の問題に答えるだけ。ちょっとした文献を読んで短い文を書かせられることが数回ありましたが、苦ではなかったです。コロナ禍で期末がなくなりました。"
